dataset,task_id,classes,predictors,fold,model,roc_auc,accuracy,precision,recall,f1,specificity,auprc,cross_entropy,brier,support_positive_pct,query_positive_pct,fit_seconds,predict_seconds,inputs,labels,contamination,context_contaminated_rows,query_contaminated_rows,train_rows,test_rows
blood-transfusion-service-center,363621,2,4,26,mixed,0.7249025341130604,0.7666666666666667,1.0,0.027777777777777776,0.05405405405405406,1.0,0.5580215142566775,0.5024296649787557,0.16408142419027388,23.745819397993312,24.0,0.02369110402651131,,preprocessed,real,0.0,0,0,598,150
blood-transfusion-service-center,363621,2,4,26,curriculum,0.7307504873294347,0.76,0.0,0.0,0.0,1.0,0.5892740505442869,0.4935989667931413,0.15996888315448657,23.745819397993312,24.0,0.023635449935682118,,preprocessed,real,0.0,0,0,598,150
blood-transfusion-service-center,363621,2,4,27,plain,0.7629142300194931,0.76,0.0,0.0,0.0,1.0,0.5581315757023387,0.49191119551499496,0.16051119911658787,23.745819397993312,24.0,0.02344087790697813,,preprocessed,real,0.0,0,0,598,150
blood-transfusion-service-center,363621,2,4,27,mixed,0.7453703703703703,0.76,0.0,0.0,0.0,1.0,0.542970719040427,0.4963770860010455,0.162222716015357,23.745819397993312,24.0,0.023668398964218795,,preprocessed,real,0.0,0,0,598,150
blood-transfusion-service-center,363621,2,4,27,curriculum,0.7448830409356725,0.76,0.0,0.0,0.0,1.0,0.501402032923403,0.48782303509458436,0.1594308639156004,23.745819397993312,24.0,0.023670613067224622,,preprocessed,real,0.0,0,0,598,150
blood-transfusion-service-center,363621,2,4,28,plain,0.7957393483709273,0.7651006711409396,0.0,0.0,0.0,1.0,0.570375845110659,0.48628671499145415,0.15850898523500462,23.87312186978297,23.48993288590604,0.02331206202507019,,preprocessed,real,0.0,0,0,599,149
blood-transfusion-service-center,363621,2,4,28,mixed,0.7862155388471178,0.7651006711409396,0.0,0.0,0.0,1.0,0.538767140084861,0.4900724336531899,0.1600535474094487,23.87312186978297,23.48993288590604,0.023740505101159215,,preprocessed,real,0.0,0,0,599,149
blood-transfusion-service-center,363621,2,4,28,curriculum,0.7894736842105263,0.7651006711409396,0.0,0.0,0.0,1.0,0.5262529972895548,0.474479821127559,0.15429618506930123,23.87312186978297,23.48993288590604,0.023770038038492203,,preprocessed,real,0.0,0,0,599,149
blood-transfusion-service-center,363621,2,4,29,plain,0.7567669172932331,0.7718120805369127,1.0,0.02857142857142857,0.05555555555555555,1.0,0.5058964119105425,0.4901189706157019,0.15970216557917086,23.87312186978297,23.48993288590604,0.02354560699313879,,preprocessed,real,0.0,0,0,599,149
blood-transfusion-service-center,363621,2,4,29,mixed,0.762531328320802,0.7718120805369127,1.0,0.02857142857142857,0.05555555555555555,1.0,0.49207341010560957,0.49225772573163284,0.16078524713257814,23.87312186978297,23.48993288590604,0.023771796957589686,,preprocessed,real,0.0,0,0,599,149
