source,dataset,layer_index,layer_fraction,raw_variance,scale_free_variance,effective_rank,support_raw_variance,support_scale_free_variance
synthetic,noisy[3],0,0.0,0.0011748557444661856,0.0011727786622941494,1.1836854219436646,0.0004874392761848867,2.538170519983396e-06
synthetic,noisy[3],1,0.2,0.002635807730257511,0.0026237014681100845,1.5409373044967651,0.0007171937031671405,3.7213198993413243e-06
synthetic,noisy[3],2,0.4,0.003099648980423808,0.0031561758369207382,2.1104061603546143,0.0013385508209466934,7.082865522534121e-06
synthetic,noisy[3],3,0.6,0.018268270418047905,0.018449312075972557,4.020097732543945,0.010685348883271217,5.592709203483537e-05
synthetic,noisy[3],4,0.8,0.030727041885256767,0.03151845186948776,2.621269464492798,0.01840025745332241,9.791675984160975e-05
synthetic,noisy[3],5,1.0,0.08002801239490509,0.07651958614587784,2.2573657035827637,0.04334072396159172,0.00021521009330172092
synthetic,noisy[4],0,0.0,0.0016321510775014758,0.001628897967748344,1.2086970806121826,0.0007657848764210939,3.987165200669551e-06
synthetic,noisy[4],1,0.2,0.003403047099709511,0.003388405544683337,1.5610474348068237,0.0010178288212046027,5.2811824389209505e-06
synthetic,noisy[4],2,0.4,0.004092562012374401,0.004171284381300211,2.107433319091797,0.0017309719696640968,9.164038601738866e-06
synthetic,noisy[4],3,0.6,0.01584213227033615,0.015986785292625427,4.048701286315918,0.0107534509152174,5.628756116493605e-05
synthetic,noisy[4],4,0.8,0.024891143664717674,0.025513624772429466,2.8174455165863037,0.018220748752355576,9.69463653746061e-05
synthetic,noisy[4],5,1.0,0.08232194930315018,0.07870817929506302,1.995158076286316,0.041410110890865326,0.00020547915482893586
synthetic,noisy[5],0,0.0,0.0022616174537688494,0.002257839310914278,1.175540566444397,0.0010296928230673075,5.362102456274442e-06
synthetic,noisy[5],1,0.2,0.004552966915071011,0.004533602390438318,1.3578996658325195,0.0012283669784665108,6.37506173006841e-06
synthetic,noisy[5],2,0.4,0.0049558235332369804,0.0050467271357774734,1.5429199934005737,0.001291494001634419,6.835913609393174e-06
synthetic,noisy[5],3,0.6,0.018203450366854668,0.01839285157620907,4.041657447814941,0.010364603251218796,5.4265110520645976e-05
synthetic,noisy[5],4,0.8,0.02997989021241665,0.030745964497327805,2.79563570022583,0.01863601617515087,9.911572851706296e-05
synthetic,noisy[5],5,1.0,0.09171771258115768,0.08742643892765045,2.2073543071746826,0.03706878423690796,0.00018337153596803546
synthetic,noisy[6],0,0.0,0.0014434857293963432,0.001441820408217609,1.2752130031585693,0.0007430058903992176,3.870703494612826e-06
synthetic,noisy[6],1,0.2,0.0025408423971384764,0.0025312798097729683,1.8686707019805908,0.0010047926334664226,5.216057616053149e-06
synthetic,noisy[6],2,0.4,0.0023644978646188974,0.0024093976244330406,2.5823721885681152,0.001340866438113153,7.101106348272879e-06
synthetic,noisy[6],3,0.6,0.012804513797163963,0.012905093841254711,4.030882835388184,0.01028173416852951,5.384990436141379e-05
synthetic,noisy[6],4,0.8,0.023189609870314598,0.02370293252170086,2.549342155456543,0.018497662618756294,9.83072750386782e-05
